fold,test_rmse,train_rmse,test_mae,train_mae,test_r2,train_r2
1,3.6962141371266712,3.261165474890318,2.551601925936784,2.2791294250913867,0.6635776586372693,0.7327272969186021
2,3.687332459915978,3.267498919791009,2.53586612292595,2.2837598896667464,0.6501246741814923,0.7346303328969777
3,3.698617608545977,3.270554353109163,2.5469724673534757,2.2916300680832493,0.6715634583420227,0.7294396459192245
4,3.673031867819488,3.279306165681375,2.531210742111888,2.2977521745462215,0.6540840167519151,0.7324609107834021
5,3.6411640044774503,3.285953170682752,2.54063836066515,2.293666425668506,0.6655406540464903,0.7303194973924438
